# Định dạng: ID | Tâm (Center_X, Center_Y) | Khung (BBox [x, y, w, h])
# Tất cả giá trị đều là tỉ lệ (0.0 - 1.0) so với kích thước thật của ảnh.
ID: 117 | Center: 0.6830, 0.3192 | BBox: [0.6603, 0.3052, 0.0454, 0.0281]
ID: 118 | Center: 0.3607, 0.4625 | BBox: [0.1965, 0.4036, 0.3285, 0.1179]
ID: 119 | Center: 0.4146, 0.1087 | BBox: [0.3864, 0.0931, 0.0564, 0.0312]
ID: 120 | Center: 0.5355, 0.9733 | BBox: [0.5189, 0.9467, 0.0333, 0.0533]
ID: 121 | Center: 0.6027, 0.9750 | BBox: [0.5872, 0.9499, 0.0310, 0.0501]
ID: 122 | Center: 0.3329, 0.9735 | BBox: [0.3162, 0.9478, 0.0335, 0.0515]
ID: 123 | Center: 0.1785, 0.0908 | BBox: [0.1674, 0.0723, 0.0221, 0.0371]
ID: 124 | Center: 0.5692, 0.9741 | BBox: [0.5533, 0.9482, 0.0319, 0.0518]
ID: 125 | Center: 0.2136, 0.0912 | BBox: [0.2048, 0.0733, 0.0175, 0.0359]
ID: 126 | Center: 0.3661, 0.9749 | BBox: [0.3508, 0.9500, 0.0306, 0.0498]
ID: 127 | Center: 0.1968, 0.0920 | BBox: [0.1891, 0.0759, 0.0155, 0.0322]
ID: 128 | Center: 0.2991, 0.9731 | BBox: [0.2841, 0.9495, 0.0301, 0.0471]
ID: 129 | Center: 0.7182, 0.2145 | BBox: [0.7030, 0.1937, 0.0305, 0.0415]
ID: 130 | Center: 0.7496, 0.2144 | BBox: [0.7336, 0.1935, 0.0320, 0.0417]
ID: 131 | Center: 0.5847, 0.3968 | BBox: [0.5772, 0.3842, 0.0151, 0.0252]
ID: 132 | Center: 0.9915, 0.9306 | BBox: [0.9833, 0.9137, 0.0164, 0.0338]
ID: 133 | Center: 0.7184, 0.3198 | BBox: [0.7104, 0.3024, 0.0160, 0.0348]
ID: 134 | Center: 0.2138, 0.1287 | BBox: [0.2046, 0.1102, 0.0185, 0.0371]
ID: 135 | Center: 0.2627, 0.9730 | BBox: [0.2471, 0.9479, 0.0313, 0.0503]
ID: 136 | Center: 0.1964, 0.1284 | BBox: [0.1881, 0.1103, 0.0166, 0.0363]
ID: 137 | Center: 0.6854, 0.2143 | BBox: [0.6682, 0.1935, 0.0344, 0.0417]
ID: 138 | Center: 0.1792, 0.1284 | BBox: [0.1693, 0.1104, 0.0199, 0.0360]
ID: 139 | Center: 0.0075, 0.0145 | BBox: [0.0000, 0.0000, 0.0150, 0.0289]
ID: 140 | Center: 0.7369, 0.3197 | BBox: [0.7271, 0.3022, 0.0196, 0.0349]
ID: 141 | Center: 0.3801, 0.1354 | BBox: [0.3733, 0.1217, 0.0135, 0.0273]
ID: 142 | Center: 0.9840, 0.0144 | BBox: [0.9685, 0.0000, 0.0310, 0.0289]
ID: 143 | Center: 0.3806, 0.1090 | BBox: [0.3753, 0.0952, 0.0107, 0.0277]
ID: 144 | Center: 0.5578, 0.2669 | BBox: [0.5469, 0.2434, 0.0218, 0.0471]
ID: 145 | Center: 0.0459, 0.0129 | BBox: [0.0380, 0.0008, 0.0159, 0.0241]
ID: 146 | Center: 0.9476, 0.0145 | BBox: [0.9335, 0.0000, 0.0282, 0.0289]
ID: 147 | Center: 0.5620, 0.4225 | BBox: [0.5516, 0.4091, 0.0207, 0.0268]
ID: 148 | Center: 0.6701, 0.9744 | BBox: [0.6544, 0.9487, 0.0313, 0.0513]
ID: 149 | Center: 0.8444, 0.9740 | BBox: [0.8349, 0.9498, 0.0192, 0.0485]
ID: 150 | Center: 0.5796, 0.2665 | BBox: [0.5692, 0.2429, 0.0208, 0.0472]
ID: 151 | Center: 0.8090, 0.9718 | BBox: [0.7993, 0.9515, 0.0195, 0.0407]
